Education,Self_Employed,ApplicantIncome,Property_Area,country,Loan_Status
Graduate,No,5849,Urban,Fairfield,Y
Graduate,No,4583,Rural,Fairfield,N
Graduate,Yes,3000,Urban,Fairfield,Y
Not Graduate,No,2583,Urban,Fairfield,Y
Graduate,No,6000,Urban,Fairfield,Y
Graduate,Yes,5417,Urban,Fairfield,Y
Not Graduate,No,2333,Urban,Fairfield,Y
Graduate,No,3036,Semiurban,Fairfield,N
Graduate,No,4006,Urban,Fairfield,Y
Graduate,No,12841,Semiurban,Fairfield,N
Graduate,No,3200,Urban,Fairfield,Y
Graduate,,,Urban,Fairfield,Y
Graduate,No,3073,Urban,Fairfield,Y
Graduate,No,1853,Rural,Fairfield,N
Graduate,No,1299,Urban,Fairfield,Y
Graduate,No,4950,Urban,Fairfield,Y
Not Graduate,No,3596,Urban,Fairfield,Y
Graduate,No,,Urban,Fairfield,N
Not Graduate,No,4887,Rural,Fairfield,N
Graduate,,2600,Urban,Fairfield,Y
Not Graduate,No,7660,Urban,Fairfield,N
Graduate,No,5955,Urban,Fairfield,Y
Not Graduate,No,2600,Semiurban,Fairfield,N
Not Graduate,No,3365,Rural,Fairfield,N
Graduate,,3717,Semiurban,Fairfield,N
Graduate,Yes,9560,Semiurban,Fairfield,Y
Graduate,No,2799,Semiurban,Fairfield,Y
Not Graduate,No,4226,Urban,Fairfield,Y
Not Graduate,No,1442,Urban,Fairfield,N
Graduate,,3750,Semiurban,Hartford,Y
Graduate,,4166,Urban,Hartford,N
Graduate,No,3167,Urban,Hartford,N
Graduate,Yes,4692,Rural,Hartford,N
Graduate,No,3500,Semiurban,Hartford,Y
Graduate,No,12500,Rural,Hartford,N
Graduate,No,2275,Urban,Hartford,Y
Graduate,No,1828,Urban,Hartford,N
Graduate,No,3667,Semiurban,Hartford,Y
Graduate,No,,Urban,Hartford,Y
Not Graduate,No,3748,Semiurban,Hartford,Y
Graduate,No,3600,Urban,Hartford,N
Graduate,No,1800,Urban,Hartford,Y
Graduate,No,2400,Urban,Hartford,Y
Graduate,No,3941,Semiurban,Hartford,Y
Not Graduate,Yes,4695,Urban,Hartford,Y
Graduate,No,3410,Urban,Hartford,Y
Graduate,No,5649,Urban,Hartford,Y
Graduate,No,5821,Urban,Hartford,Y
Graduate,No,2645,Urban,Hartford,N
Graduate,No,4000,Semiurban,Hartford,Y
Not Graduate,No,1928,Semiurban,Hartford,Y
Graduate,No,3086,Semiurban,Hartford,Y
Graduate,No,4230,Semiurban,Fairfield,N
Graduate,No,4616,Urban,Fairfield,N
Graduate,Yes,11500,Urban,Fairfield,N
Graduate,No,2708,Semiurban,Fairfield,Y
Graduate,No,,Semiurban,Fairfield,Y
Graduate,No,3366,Rural,Fairfield,N
Graduate,No,8080,Urban,Fairfield,Y
Not Graduate,No,3357,Urban,Fairfield,Y
Graduate,No,2500,Urban,Fairfield,Y
Graduate,No,3029,Urban,Fairfield,Y
Not Graduate,Yes,2609,Rural,Fairfield,N
Graduate,No,4945,Rural,Fairfield,N
Graduate,No,4166,Semiurban,Fairfield,N
Graduate,No,,Semiurban,Fairfield,N
Not Graduate,No,3200,Urban,Fairfield,N
