,sustainability,employment_outcomes,international_research_network,international_students_ratio,international_faculty_ratio,citations_per_faculty,faculty_student_ratio,employer_reputation,academic_reputation,overall,QS_24,location,name
0,100,100,100,100,100,100,88.2,94.3,100,95.2,#1,"Massachusetts Institute of Technology (MIT), Massachusetts, United States",
1,99.2,100,100,100,92.3,100,95.8,99.9,100,97.3,#2,"University of Cambridge, United Kingdom",
2,98.9,100,100,100,90.6,98.2,98.2,100,100,97.8,#3,"Wellington Square, Oxford, GB, United Kingdom",
3,98.3,100,100,98.3,100,84.6,66.8,100,100,96.7,#4,"Harvard College, Massachusetts, United States",
4,98.1,100,100,100,99.9,99.9,51.2,95.8,100,94.4,#5,"Stanford University, California, United States",
5,97.8,98.3,99.4,98.5,94,100,100,96.7,83,94.4,#6,"South Kensington Campus, United Kingdom",
6,93.3,98.8,83.6,72.1,98.9,100,98.5,96,79.1,88.4,#7,"ETH Zurich - Swiss Federal Institute of Technology, Switzerland",
7,92.7,99.4,88.6,76.5,93.2,100,81.9,76.3,100,88.1,#8,"Kent Ridge Campus, Singapore",
8,92.4,99.5,97.9,98.4,74.3,99.1,100,100,51.6,92.5,#9,"UCL Bloomsbury, United Kingdom",
9,90.4,100,100,20.5,99.9,92.2,63.9,92.4,98.7,100,#10,"University of California, Berkeley (UCB), California, United States",
10,90.3,99.1,95.4,92.5,78.5,81.2,84.4,61.4,98.3,81.7,#11,"University of Chicago, Illinois, United States",
11,89.4,96.4,89.1,99.9,68.4,96,70.3,83.3,100,99.9,#12,"University of Pennsylvania, Pennsylvania, United States",
12,89.3,98.1,90.5,52.9,99.1,68.7,64,79.9,98,94.7,#13,"Ithaca Campus, New York, United States",
13,87.9,98.4,92.3,15.4,92.1,92.9,99.7,97.2,93.3,90.4,#14,"Parkville Campus, Australia",
14,87.8,96.1,93.7,100,100,100,81,22.8,34.2,41.4,#15,"California Institute of Technology (Caltech), California, United States",
15,87.7,99.9,99.9,100,45.8,89.8,78.8,85.8,99.9,99.2,#16,"Yale University, Connecticut, United States",
16,87,99.4,95.4,90.4,97.5,50.8,23.5,43.2,82.6,68.8,#=17,"No. 5 Yiheyuan Road, Haidian District, Beijing, CN, China (Mainland)",
17,87,99.8,97.5,64.5,100,16.7,57.5,52.5,94.6,79.3,#=17,"Princeton University, New Jersey, United States",
18,86.7,89.7,88.1,18.2,95.9,100,99.1,99,95.5,99.6,#=19,"Main Campus (Kensington), Australia",
19,86.7,96,87.7,11.8,93.5,99.5,100,91.9,88.1,99.7,#=19,"Camperdown/Darlington Campus, Australia",
20,86.3,99.7,96,54.2,57.2,95.7,96.4,95.5,96.4,99.9,#21,"Downtown Toronto Campus (St. George), Canada",
21,86.1,98.1,96.9,72.4,58.7,98.8,99.9,99.6,48.1,99.7,#22,"Central Campus, United Kingdom",
22,85.9,99.6,98.3,100,40.7,56.1,96.8,97.6,99.9,94.2,#23,"Morningside Height Campus, New York, United States",
23,85.8,73.7,97,99.3,95.7,69.2,72.7,100,60.8,80.4,#24,"Dauphine - PSL, France",
24,84.9,99.1,96.9,93.9,98.9,9.4,15.7,47.8,82.2,55.8,#25,"Tsinghua University, China (Mainland)",
25,84.5,91,67.1,77.6,94.4,100,80.2,66.1,68.4,78.2,#=26,"Nanyang Technological University, Singapore (NTU Singapore), Singapore",
26,84.5,97.6,51.4,82.9,82.3,100,99,42.7,99.5,97.3,#=26,"HKU MBA Campus, Hong Kong SAR",
27,84.5,87.3,59.7,100,89.4,64.4,91.4,98.1,74.5,84.6,#28,"Homewood Campus, Maryland, United States",
28,84.3,100,99.8,90.4,70,10.3,29.2,70,99.8,99.7,#28,"7-3-1, Hongo, Tokyo, JP, Japan",
29,83.8,100,99.8,36.6,84.8,43.4,24.8,89.8,97,91.2,#29,"University of California, Los Angeles (UCLA), California, United States",
30,83.7,93.7,87.6,64,62.1,88.9,93.3,86.2,92.5,94.2,#30,"Main campus, Canada",
31,82.2,95.4,98,53.8,49.1,93.5,99.4,99.7,71.9,92.3,#32,"The University of Manchester, United Kingdom",
