,id,title
0,278,The Shawshank Redemption
1,238,The Godfather
2,240,The Godfather Part II
3,424,Schindler's List
4,389,12 Angry Men
5,19404,Dilwale Dulhania Le Jayenge
6,129,Spirited Away
7,155,The Dark Knight
8,496243,Parasite
9,497,The Green Mile
10,372058,Your Name.
11,680,Pulp Fiction
12,122,The Lord of the Rings: The Return of the King
13,13,Forrest Gump
14,429,"The Good, the Bad and the Ugly"
15,769,GoodFellas
16,346,Seven Samurai
17,12477,Grave of the Fireflies
18,637,Life Is Beautiful
19,11216,Cinema Paradiso
20,278,The Shawshank Redemption
21,238,The Godfather
22,240,The Godfather Part II
23,424,Schindler's List
24,389,12 Angry Men
25,19404,Dilwale Dulhania Le Jayenge
26,129,Spirited Away
27,155,The Dark Knight
28,496243,Parasite
29,497,The Green Mile
30,372058,Your Name.
31,680,Pulp Fiction
32,122,The Lord of the Rings: The Return of the King
33,13,Forrest Gump
34,429,"The Good, the Bad and the Ugly"
35,769,GoodFellas
36,346,Seven Samurai
37,12477,Grave of the Fireflies
38,637,Life Is Beautiful
39,11216,Cinema Paradiso
40,278,The Shawshank Redemption
41,238,The Godfather
42,240,The Godfather Part II
43,424,Schindler's List
44,389,12 Angry Men
45,19404,Dilwale Dulhania Le Jayenge
46,129,Spirited Away
47,155,The Dark Knight
48,496243,Parasite
49,497,The Green Mile
50,372058,Your Name.
51,680,Pulp Fiction
52,122,The Lord of the Rings: The Return of the King
53,13,Forrest Gump
54,429,"The Good, the Bad and the Ugly"
55,769,GoodFellas
56,346,Seven Samurai
57,12477,Grave of the Fireflies
58,637,Life Is Beautiful
59,11216,Cinema Paradiso
60,278,The Shawshank Redemption
61,238,The Godfather
62,240,The Godfather Part II
63,424,Schindler's List
64,389,12 Angry Men
65,19404,Dilwale Dulhania Le Jayenge
66,129,Spirited Away
67,155,The Dark Knight
68,496243,Parasite
69,497,The Green Mile
70,372058,Your Name.
71,680,Pulp Fiction
72,122,The Lord of the Rings: The Return of the King
73,13,Forrest Gump
74,429,"The Good, the Bad and the Ugly"
75,769,GoodFellas
76,346,Seven Samurai
77,12477,Grave of the Fireflies
78,637,Life Is Beautiful
79,11216,Cinema Paradiso
80,278,The Shawshank Redemption
81,238,The Godfather
82,240,The Godfather Part II
83,424,Schindler's List
84,389,12 Angry Men
85,19404,Dilwale Dulhania Le Jayenge
86,129,Spirited Away
87,155,The Dark Knight
88,496243,Parasite
89,497,The Green Mile
90,372058,Your Name.
91,680,Pulp Fiction
92,122,The Lord of the Rings: The Return of the King
93,13,Forrest Gump
94,429,"The Good, the Bad and the Ugly"
95,769,GoodFellas
96,346,Seven Samurai
97,12477,Grave of the Fireflies
98,637,Life Is Beautiful
99,11216,Cinema Paradiso
100,278,The Shawshank Redemption
101,238,The Godfather
102,240,The Godfather Part II
103,424,Schindler's List
104,389,12 Angry Men
105,19404,Dilwale Dulhania Le Jayenge
106,129,Spirited Away
107,155,The Dark Knight
108,496243,Parasite
109,497,The Green Mile
110,372058,Your Name.
111,680,Pulp Fiction
112,122,The Lord of the Rings: The Return of the King
113,13,Forrest Gump
114,429,"The Good, the Bad and the Ugly"
115,769,GoodFellas
116,346,Seven Samurai
117,12477,Grave of the Fireflies
118,637,Life Is Beautiful
119,11216,Cinema Paradiso
120,278,The Shawshank Redemption
121,238,The Godfather
122,240,The Godfather Part II
123,424,Schindler's List
124,389,12 Angry Men
125,19404,Dilwale Dulhania Le Jayenge
126,129,Spirited Away
127,155,The Dark Knight
128,496243,Parasite
129,497,The Green Mile
130,372058,Your Name.
131,680,Pulp Fiction
132,122,The Lord of the Rings: The Return of the King
133,13,Forrest Gump
134,429,"The Good, the Bad and the Ugly"
135,769,GoodFellas
136,346,Seven Samurai
137,12477,Grave of the Fireflies
138,637,Life Is Beautiful
139,11216,Cinema Paradiso
140,278,The Shawshank Redemption
141,238,The Godfather
142,240,The Godfather Part II
143,424,Schindler's List
144,389,12 Angry Men
145,19404,Dilwale Dulhania Le Jayenge
146,129,Spirited Away
147,155,The Dark Knight
148,496243,Parasite
149,497,The Green Mile
150,372058,Your Name.
151,680,Pulp Fiction
152,122,The Lord of the Rings: The Return of the King
153,13,Forrest Gump
154,429,"The Good, the Bad and the Ugly"
155,769,GoodFellas
156,346,Seven Samurai
157,12477,Grave of the Fireflies
158,637,Life Is Beautiful
159,11216,Cinema Paradiso
160,278,The Shawshank Redemption
161,238,The Godfather
162,240,The Godfather Part II
163,424,Schindler's List
164,389,12 Angry Men
165,19404,Dilwale Dulhania Le Jayenge
166,129,Spirited Away
167,155,The Dark Knight
168,496243,Parasite
169,497,The Green Mile
170,372058,Your Name.
171,680,Pulp Fiction
172,122,The Lord of the Rings: The Return of the King
173,13,Forrest Gump
174,429,"The Good, the Bad and the Ugly"
175,769,GoodFellas
176,346,Seven Samurai
177,12477,Grave of the Fireflies
178,637,Life Is Beautiful
179,11216,Cinema Paradiso
180,278,The Shawshank Redemption
181,238,The Godfather
182,240,The Godfather Part II
183,424,Schindler's List
184,389,12 Angry Men
185,19404,Dilwale Dulhania Le Jayenge
186,129,Spirited Away
187,155,The Dark Knight
188,496243,Parasite
189,497,The Green Mile
190,372058,Your Name.
191,680,Pulp Fiction
192,122,The Lord of the Rings: The Return of the King
193,13,Forrest Gump
194,429,"The Good, the Bad and the Ugly"
195,769,GoodFellas
196,346,Seven Samurai
197,12477,Grave of the Fireflies
198,637,Life Is Beautiful
199,11216,Cinema Paradiso
200,278,The Shawshank Redemption
201,238,The Godfather
202,240,The Godfather Part II
203,424,Schindler's List
204,389,12 Angry Men
205,19404,Dilwale Dulhania Le Jayenge
206,129,Spirited Away
207,155,The Dark Knight
208,496243,Parasite
209,497,The Green Mile
210,372058,Your Name.
211,680,Pulp Fiction
212,122,The Lord of the Rings: The Return of the King
213,13,Forrest Gump
214,429,"The Good, the Bad and the Ugly"
215,769,GoodFellas
216,346,Seven Samurai
217,12477,Grave of the Fireflies
218,637,Life Is Beautiful
219,11216,Cinema Paradiso
220,278,The Shawshank Redemption
221,238,The Godfather
222,240,The Godfather Part II
223,424,Schindler's List
224,389,12 Angry Men
225,19404,Dilwale Dulhania Le Jayenge
226,129,Spirited Away
227,155,The Dark Knight
228,496243,Parasite
229,497,The Green Mile
230,372058,Your Name.
231,680,Pulp Fiction
232,122,The Lord of the Rings: The Return of the King
233,13,Forrest Gump
234,429,"The Good, the Bad and the Ugly"
235,769,GoodFellas
236,346,Seven Samurai
237,12477,Grave of the Fireflies
238,637,Life Is Beautiful
239,11216,Cinema Paradiso
240,278,The Shawshank Redemption
241,238,The Godfather
242,240,The Godfather Part II
243,424,Schindler's List
244,389,12 Angry Men
245,19404,Dilwale Dulhania Le Jayenge
246,129,Spirited Away
247,155,The Dark Knight
248,496243,Parasite
249,497,The Green Mile
250,372058,Your Name.
251,680,Pulp Fiction
252,122,The Lord of the Rings: The Return of the King
253,13,Forrest Gump
254,429,"The Good, the Bad and the Ugly"
255,769,GoodFellas
256,346,Seven Samurai
257,12477,Grave of the Fireflies
258,637,Life Is Beautiful
259,11216,Cinema Paradiso
260,278,The Shawshank Redemption
261,238,The Godfather
262,240,The Godfather Part II
263,424,Schindler's List
264,389,12 Angry Men
265,19404,Dilwale Dulhania Le Jayenge
266,129,Spirited Away
267,155,The Dark Knight
268,496243,Parasite
269,497,The Green Mile
270,372058,Your Name.
271,680,Pulp Fiction
272,122,The Lord of the Rings: The Return of the King
273,13,Forrest Gump
274,429,"The Good, the Bad and the Ugly"
275,769,GoodFellas
276,346,Seven Samurai
277,12477,Grave of the Fireflies
278,637,Life Is Beautiful
279,11216,Cinema Paradiso
280,278,The Shawshank Redemption
281,238,The Godfather
282,240,The Godfather Part II
283,424,Schindler's List
284,389,12 Angry Men
285,19404,Dilwale Dulhania Le Jayenge
286,129,Spirited Away
287,155,The Dark Knight
288,496243,Parasite
289,497,The Green Mile
290,372058,Your Name.
291,680,Pulp Fiction
292,122,The Lord of the Rings: The Return of the King
293,13,Forrest Gump
294,429,"The Good, the Bad and the Ugly"
295,769,GoodFellas
296,346,Seven Samurai
297,12477,Grave of the Fireflies
298,637,Life Is Beautiful
